
 ==============================
 S N O P T  7.2-5    (May 2007)
 ==============================
 
 SNMEMB EXIT 100 -- finished successfully
 SNMEMB INFO 104 -- memory requirements estimated

 ==============================
 S N O P T  7.2-5    (May 2007)
 ==============================
 
 

 Nonlinear constraints       1     Linear constraints       0
 Nonlinear variables        25     Linear variables         0
 Jacobian  variables        25     Objective variables     25
 Total constraints           1     Total variables         25
 

 
 The user has defined      25   out of      25   constraint gradients.
 The user has defined      25   out of      25   objective  gradients.
 

    65      1  1.0E+00     66 (7.0E-16) 2.0E-05  5.0528176E-05    21
    66      1  1.0E+00     67 (7.4E-16) 2.1E-05  5.0518849E-05    21
    67      1  1.0E+00     68 (7.3E-16) 2.2E-05  5.0511820E-05    21
    68      1  1.0E+00     69 (7.0E-16) 2.2E-05  5.0497986E-05    21
    69      1  1.0E+00     70 (7.5E-16) 2.2E-05  5.0461521E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
    70      1  1.0E+00     71 (6.9E-16) 2.2E-05  5.0377922E-05    21
    71      1  1.0E+00     72 (7.3E-16) 2.1E-05  5.0189544E-05    21
    72      1  1.0E+00     73 (7.5E-16) 1.9E-05  4.9808442E-05    21
    73      1  1.0E+00     74 (7.5E-16) 1.3E-05  4.9150143E-05    21
    74      1  1.0E+00     75 (6.8E-16) 1.0E-05  4.8203420E-05    21
    75      1  1.0E+00     76 (6.6E-16) 1.0E-05  4.7298721E-05    21
    76      1  1.0E+00     77 (6.9E-16) 9.1E-06  4.7159204E-05    21
    77      1  1.0E+00     78 (7.7E-16) 1.2E-05  4.7051844E-05    21
    78      1  1.0E+00     79 (6.8E-16) 1.2E-05  4.7041088E-05    21
    79      1  1.0E+00     80 (7.1E-16) 1.2E-05  4.7039183E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
    80      1  1.0E+00     81 (6.5E-16) 1.2E-05  4.7035876E-05    21
    81      1  1.0E+00     82 (7.7E-16) 1.1E-05  4.7032675E-05    21
    82      1  1.0E+00     83 (7.0E-16) 1.1E-05  4.7020263E-05    21
    83      1  1.0E+00     84 (7.0E-16) 1.0E-05  4.6990951E-05    21
    84      1  1.0E+00     85 (7.2E-16) 9.6E-06  4.6915603E-05    21
    85      1  1.0E+00     86 (7.6E-16) 9.9E-06  4.6755261E-05    21
    86      1  1.0E+00     87 (7.3E-16) 8.5E-06  4.6492819E-05    21
    87      1  1.0E+00     88 (7.2E-16) 6.6E-06  4.6247416E-05    21
    88      1  1.0E+00     89 (7.2E-16) 6.4E-06  4.6149539E-05    21
    89      1  1.0E+00     90 (7.3E-16) 5.8E-06  4.6138267E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
    90      1  1.0E+00     91 (6.4E-16) 5.6E-06  4.6137703E-05    21
    91      1  1.0E+00     92 (7.3E-16) 5.6E-06  4.6137319E-05    21
    92      1  1.0E+00     93 (6.8E-16) 5.5E-06  4.6135747E-05    21
    93      1  1.0E+00     94 (7.8E-16) 5.4E-06  4.6132246E-05    21
    94      1  1.0E+00     95 (7.7E-16) 5.2E-06  4.6123124E-05    21
    95      1  1.0E+00     96 (7.2E-16) 4.8E-06  4.6101438E-05    21
    96      1  1.0E+00     97 (7.9E-16) 4.5E-06  4.6053555E-05    21
    97      1  1.0E+00     98 (6.9E-16) 6.6E-06  4.5974231E-05    21
    98      1  1.0E+00     99 (7.5E-16) 7.1E-06  4.5914516E-05    21
    99      1  1.0E+00    100 (7.7E-16) 4.8E-06  4.5827828E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
   100      1  1.0E+00    101 (7.3E-16) 4.5E-06  4.5761064E-05    21
   101      1  6.1E-05    111 (7.3E-16) 4.5E-06  4.5761065E-05    21
   102      1  9.9E-05    121 (6.8E-16) 4.5E-06  4.5761065E-05    21
   103      1  9.0E-05    131 (7.0E-16) 4.5E-06  4.5761065E-05    21
   104      1  1.1E-04    141 (6.6E-16) 4.5E-06  4.5761065E-05    21
   105      1  1.3E-04    151 (6.9E-16) 4.5E-06  4.5761066E-05    21
   106      1  1.5E-04    161 (7.3E-16) 4.5E-06  4.5761066E-05    21
   107      1  1.8E-04    171 (6.5E-16) 4.5E-06  4.5761067E-05    21
   108      1  2.1E-04    181 (7.1E-16) 4.5E-06  4.5761067E-05    21
   109      1  2.4E-04    191 (7.0E-16) 4.5E-06  4.5761068E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
   110      1  2.7E-04    201 (7.3E-16) 4.5E-06  4.5761068E-05    21
   111      1  3.1E-04    211 (7.2E-16) 4.5E-06  4.5761069E-05    21
   112      1  3.5E-04    221 (7.2E-16) 4.5E-06  4.5761070E-05    21
   113      1  4.0E-04    231 (7.2E-16) 4.5E-06  4.5761071E-05    21
   114      1  4.5E-04    241 (7.0E-16) 4.5E-06  4.5761071E-05    21
   115      1  5.0E-04    251 (7.6E-16) 4.5E-06  4.5761072E-05    21
   116      1  5.6E-04    261 (7.2E-16) 4.5E-06  4.5761073E-05    21
   117      1  6.2E-04    271 (7.5E-16) 4.5E-06  4.5761073E-05    21
   118      1  6.9E-04    281 (6.8E-16) 4.5E-06  4.5761074E-05    21
   119      1  7.6E-04    291 (7.1E-16) 4.5E-06  4.5761074E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
   120      1  4.3E-03    301 (6.7E-16) 4.5E-06  4.5761075E-05    21
   121      1  2.0E-02    311 (7.1E-16) 4.5E-06  4.5761075E-05    21
   122      1  3.9E-02    321 (7.1E-16) 4.5E-06  4.5761075E-05    21
   123      1  2.0E-02    331 (7.6E-16) 4.5E-06  4.5761075E-05    21
   124      1  3.8E-02    341 (6.9E-16) 4.5E-06  4.5761074E-05    21
   125      1  2.3E-02    351 (7.3E-16) 4.5E-06  4.5761073E-05    21
   126      1  3.8E-02    361 (7.0E-16) 4.5E-06  4.5761072E-05    21
   127      1  2.3E-02    371 (7.3E-16) 4.5E-06  4.5761070E-05    21
   128      1  3.8E-02    381 (7.0E-16) 4.5E-06  4.5761066E-05    21
   129      1  3.8E-02    391 (6.9E-16) 4.5E-06  4.5761064E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
   130      1  3.8E-02    401 (7.7E-16) 4.4E-06  4.5761063E-05    21
   131      1  3.8E-02    411 (7.7E-16) 4.4E-06  4.5761062E-05    21
   132      1  3.8E-02    421 (7.2E-16) 4.4E-06  4.5761060E-05    21
   133      1  3.9E-02    431 (7.4E-16) 4.4E-06  4.5761058E-05    21
   134      1  3.8E-02    441 (6.2E-16) 4.4E-06  4.5761054E-05    21
   135      1  4.4E-02    451 (7.6E-16) 4.4E-06  4.5761048E-05    21
   136      1  4.4E-02    461 (7.1E-16) 4.3E-06  4.5761042E-05    21
   137      1  4.7E-02    471 (6.5E-16) 4.3E-06  4.5761034E-05    21
   138      1  4.8E-02    481 (7.1E-16) 4.3E-06  4.5761025E-05    21
   139      1  5.3E-02    491 (6.9E-16) 4.3E-06  4.5761014E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
   140      1  5.3E-02    501 (7.4E-16) 4.3E-06  4.5761002E-05    21
   141      1  5.9E-02    511 (7.1E-16) 4.2E-06  4.5760988E-05    21
   142      1  6.0E-02    521 (8.1E-16) 4.2E-06  4.5760973E-05    21
   143      1  6.5E-02    531 (6.7E-16) 4.2E-06  4.5760955E-05    21
   144      1  7.8E-02    541 (6.8E-16) 4.2E-06  4.5760937E-05    21
   145      1  6.0E-02    551 (7.5E-16) 4.1E-06  4.5760919E-05    21
   146      1  8.0E-02    561 (7.5E-16) 4.1E-06  4.5760888E-05    21
   147      1  8.5E-02    571 (6.9E-16) 4.0E-06  4.5760853E-05    21
   148      1  9.4E-02    581 (7.7E-16) 4.0E-06  4.5760811E-05    21
   149      1  1.0E-01    591 (7.7E-16) 3.9E-06  4.5760763E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
   150      1  1.9E-01    593 (7.0E-16) 3.8E-06  4.5760750E-05    21
   151      1  6.0E-02    603 (7.6E-16) 3.8E-06  4.5760738E-05    21
   152      1  2.0E-01    605 (7.2E-16) 3.7E-06  4.5760663E-05    21
   153      1  2.0E-01    607 (7.6E-16) 3.6E-06  4.5760630E-05    21
   154      1  2.0E-01    609 (7.6E-16) 3.5E-06  4.5760546E-05    21
   155      1  2.2E-01    611 (7.5E-16) 3.6E-06  4.5760331E-05    21
   156      1  2.4E-01    613 (7.5E-16) 3.7E-06  4.5759870E-05    21
   157      1  2.7E-01    615 (7.6E-16) 3.8E-06  4.5758982E-05    21
   158      1  1.0E+00    616 (6.4E-16) 4.2E-06  4.5758027E-05    21
   159      1  1.0E+00    617 (6.4E-16) 4.3E-06  4.5753791E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
   160      1  1.0E+00    618 (6.8E-16) 4.1E-06  4.5728656E-05    21
   161      1  1.0E+00    619 (7.4E-16) 3.6E-06  4.5689393E-05    21
   162      1  1.0E+00    620 (7.1E-16) 3.8E-06  4.5640114E-05    21
   163      1  1.0E+00    621 (7.1E-16) 3.6E-06  4.5611944E-05    21
   164      1  1.0E+00    622 (7.1E-16) 3.5E-06  4.5607829E-05    21
   165      1  1.0E+00    623 (7.2E-16) 3.3E-06  4.5605889E-05    21
   166      1  2.0E-03    633 (7.3E-16) 3.3E-06  4.5605889E-05    21
   167      1  1.9E-03    643 (6.7E-16) 3.3E-06  4.5605890E-05    21
   168      1  2.4E-03    653 (7.3E-16) 3.3E-06  4.5605891E-05    21
   169      1  2.1E-03    663 (7.5E-16) 3.3E-06  4.5605891E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
   170      1  2.8E-02    673 (7.1E-16) 3.3E-06  4.5605893E-05    21
   171      1  2.1E-01    675 (7.3E-16) 3.3E-06  4.5605868E-05    21
   172      1  2.4E-01    677 (6.9E-16) 3.4E-06  4.5605819E-05    21
   173      1  2.9E-01    679 (7.6E-16) 3.4E-06  4.5605719E-05    21
   174      1  1.0E+00    680 (7.3E-16) 3.4E-06  4.5605498E-05    21
   175      1  1.0E+00    681 (7.4E-16) 3.4E-06  4.5604965E-05    21
   176      1  1.0E+00    682 (6.9E-16) 3.4E-06  4.5600877E-05    21
   177      1  1.0E+00    683 (7.0E-16) 3.3E-06  4.5592263E-05    21
   178      1  1.0E+00    684 (7.2E-16) 2.7E-06  4.5572298E-05    21
   179      1  1.0E+00    685 (7.2E-16) 2.0E-06  4.5545177E-05    21

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction    nS Penalty
   180      1  1.0E+00    686 (7.4E-16)(1.2E-06) 4.5520989E-05    21
 
 SNOPTC EXIT   0 -- finished successfully
 SNOPTC INFO   1 -- optimality conditions satisfied

 Problem name                 O
 No. of iterations                 209   Objective value      4.5520989499E-05
 No. of major iterations           180   Linear objective     0.0000000000E+00
 Penalty parameter           0.000E+00   Nonlinear objective  4.5520989499E-05
 No. of calls to funobj            687   No. of calls to funcon            687
 No. of superbasics                 21   No. of basic nonlinears             1
 No. of degenerate steps             0   Percentage                       0.00
 Max x                      23 1.1E-01   Max pi                      1 1.0E-03
 Max Primal infeas           0 0.0E+00   Max Dual infeas            12 4.3E-06
 Nonlinear constraint violn    9.8E-16
 
 

 Solution printed on file  18
 
 Time for MPS input                             0.00 seconds
 Time for solving problem                    5050.97 seconds
 Time for solution output                       0.00 seconds
 Time for constraint functions               5061.60 seconds
 Time for objective function                    0.00 seconds
